115,75000
116,76700
117,76000
118,78000
119,78900
120,90000
121,75000
122,75000
123,77400
124,82500
125,81000
126,77600
127,76000
128,78900
129,79800
130,76000
131,80000
132,88750
133,78900
134,84000
135,135000
136,78900
137,82100
138,81000
139,76800
140,120000
141,83000
142,78000
143,76700
144,74700
145,84700
146,86430
147,125000
148,127000
149,200000
150,188600
151,178000
152,167000
201,50014
202,52358
203,52213
204,52513
205,52532
206,49880
207,54920
208,90000
209,52118
210,51135
211,48826
212,50144
213,52281
214,51642
215,52862
216,90000
217,49044
218,54482
219,50147
220,49752
221,53561
222,52766
223,52935
224,87500
225,51668
226,53573
227,49987
228,53104
229,50778
230,48312
231,48638
232,90000
233,48394
234,53354
235,54066
236,50447
237,48486
238,87500
239,49813
240,49365
241,53241
242,48523
243,48380
244,88000
245,54032
246,50613
247,53402
248,54106
249,82500
250,49879
251,49150
252,54024
253,50835
254,82500
255,48600
256,49076
257,48299
258,49161
259,82500
260,53354
261,50037
262,48907
263,51407
264,49817
265,54576
266,54773
267,87600
